id,sfc
1	[4]
2	[5]
3	[3, 4, 1, 5]
4	[3, 5, 6, 4, 2]
5	[2, 1, 6]
6	[4, 3]
7	[1, 2]
8	[1]
9	[4]
10	[5, 3]
11	[7, 2, 1]
12	[6, 1, 7, 3]
13	[5]
14	[3, 1, 5, 4, 7, 2]
15	[4, 2, 3, 1]
16	[2]
17	[7, 4, 1]
18	[1]
19	[5]
20	[7]
21	[6, 7, 2]
22	[6, 1]
23	[3, 5, 4, 1]
24	[1, 2, 4, 7]
25	[6, 2, 3, 5]
26	[4, 1]
27	[6, 2, 5, 4]
28	[6, 5]
29	[2, 1, 7, 5, 4]
30	[6, 4, 3]
31	[1, 2, 3, 6, 4]
32	[6, 3, 2, 1]
33	[3, 2, 1, 7]
34	[4, 3]
35	[7, 4, 6, 1, 5]
36	[7, 4]
37	[1, 7, 2]
38	[5]
39	[2]
40	[4, 3, 7, 6]
41	[1]
42	[1, 2, 7, 5, 3, 4]
43	[5, 3, 7, 1]
44	[5]
45	[7, 5, 4, 2]
46	[6, 1, 3]
47	[6, 7, 2, 5, 3]
48	[7, 2, 3, 1, 5, 6]
49	[1, 4, 3, 6]
50	[2, 7, 6, 4, 1]
51	[7, 1]
52	[1, 3, 4, 6, 2]
53	[3, 7, 5, 4]
54	[5]
55	[6, 4, 3, 7, 5, 2]
56	[2, 5, 6, 3]
57	[7, 6, 1]
58	[7, 5, 4, 1]
59	[6, 2]
60	[5, 4, 1]
61	[6, 7, 1]
62	[3, 1, 6, 4]
63	[1]
64	[5, 6, 2]
65	[6, 4, 3, 2]
66	[6, 3, 5, 7]
67	[3, 7, 2, 4]
68	[2, 5, 4]
69	[4, 2]
70	[2, 6]
71	[3, 2, 7]
72	[1, 5, 4, 6]
73	[1, 2, 7, 4, 5]
74	[7, 5]
75	[3, 6, 4, 7]
76	[1, 3, 7, 4, 2]
77	[1, 7, 2, 4, 5, 6]
78	[1, 5, 7, 2]
79	[4]
80	[6, 7, 1, 5, 3, 4]
81	[1, 3, 5]
82	[5, 1, 2, 6]
83	[3, 5, 1, 6]
84	[2, 6, 4, 1]
85	[6, 5, 4, 1, 2]
86	[1, 3, 5, 7, 4]
87	[3, 6, 5]
88	[2]
89	[6, 1]
90	[4, 2, 1, 3]
91	[3, 2, 6, 4]
92	[4, 5, 6, 3, 7]
93	[4, 5, 7, 3, 6, 1]
94	[6, 5, 4, 7, 1]
95	[7, 3]
96	[5, 6, 4, 2]
97	[1]
98	[4, 6, 1]
99	[4, 1]
100	[2, 5, 6, 4]
101	[4]
102	[6, 5, 2]
103	[5, 3, 2]
104	[3, 6]
105	[4, 3, 5, 6, 7, 1]
106	[5, 2, 1]
107	[4, 6, 3]
108	[6]
109	[3, 4, 6, 5]
110	[2, 4, 6, 7]
111	[1, 6, 3]
112	[7, 2, 3, 5, 4]
113	[4, 6, 1, 7]
114	[7, 6, 5, 2]
115	[6]
116	[5, 2, 7, 4]
117	[1, 5, 3, 6, 4, 7]
118	[7, 5, 2, 1, 4, 6]
119	[1, 2, 7, 3, 6]
120	[5, 2, 6, 1]
121	[7, 4, 5, 3]
122	[7, 6, 2, 5]
123	[2, 6, 5]
124	[7]
125	[4, 7, 2, 5, 6]
126	[7, 1, 5]
127	[6]
128	[1]
129	[7, 1]
130	[1, 2]
131	[2, 1, 4]
132	[6, 2, 4, 3]
133	[7, 5, 4]
134	[2, 3, 5]
135	[4, 3]
136	[5, 6, 2, 1]
137	[2]
138	[3]
139	[6, 4, 3]
140	[2, 4, 6, 3]
141	[6]
142	[1, 2, 6]
143	[2]
144	[3, 5, 2, 4]
145	[6]
146	[4]
147	[7, 2, 4, 6, 3, 5]
148	[7, 6, 4, 2, 1]
149	[3]
150	[6, 3, 5]
151	[1]
152	[3, 2, 5, 7, 6, 4]
153	[1, 5, 2]
154	[4, 5, 7]
155	[7, 4]
156	[3, 7, 2]
157	[7, 4, 3, 1, 5]
158	[1, 2, 7, 3, 6]
159	[2, 5, 6]
160	[3, 2, 4, 6, 1]
161	[4, 5, 3]
162	[6, 4, 2]
163	[2, 6, 3]
164	[3]
165	[5, 7, 4, 6, 3]
166	[4, 6, 7, 2]
167	[7]
168	[3, 6, 7, 2]
169	[6, 3, 4, 5]
170	[4]
171	[1, 7, 2, 3]
172	[3, 7, 6, 1, 4, 2]
173	[5, 4, 1, 6, 7, 3]
174	[5]
175	[7, 6]
176	[1, 2]
177	[3, 4, 5, 7, 1]
178	[3, 1, 7, 2]
179	[1, 7, 6, 5]
180	[7, 5, 3, 1, 6]
181	[2, 1, 5, 3, 7, 4]
182	[7, 3]
183	[1]
184	[4, 7]
185	[7, 3, 5, 4]
186	[4, 1, 5, 7, 2]
187	[1, 7, 6, 2]
188	[3, 7]
189	[7]
190	[6, 2, 1]
191	[4]
192	[7, 2, 3, 5, 4]
193	[7, 5, 1, 2]
194	[5, 2, 6, 4]
195	[3, 4, 7]
196	[5, 7, 4]
197	[7, 3, 2, 4, 5]
198	[3, 5, 2, 6, 4]
199	[4, 7, 5, 3]
200	[1, 3, 6, 2]
201	[2]
202	[7, 6, 1]
203	[4, 1, 6]
204	[1, 4, 5, 6]
205	[2, 5, 6, 1, 4]
206	[7, 6, 5, 1]
207	[7, 1, 6, 2]
208	[2, 3, 5]
209	[7, 2, 6, 3]
210	[3]
211	[4, 6, 2, 3]
212	[1, 4, 6, 3]
213	[3, 2, 6, 1, 7]
214	[1, 4, 7]
215	[2, 1, 6]
216	[6, 4]
217	[5, 1, 6, 2]
218	[2, 5, 4]
219	[5, 3, 4, 2, 7]
220	[7, 5, 1]
221	[6, 7]
222	[1, 7, 5, 2, 3]
223	[4, 5, 2]
224	[1, 5, 2, 4]
225	[1, 3, 6, 5]
226	[2, 6, 4]
227	[2, 6, 7, 1, 5]
228	[5, 4, 2, 1]
229	[4, 2, 6]
230	[2]
231	[7, 2, 4]
232	[4, 6]
233	[6]
234	[6, 7]
235	[1, 4]
236	[7, 1]
237	[3, 5]
238	[6, 2, 1, 5]
239	[3, 6, 2, 4]
240	[6, 7]
241	[4, 1, 5, 2, 6]
242	[2]
243	[1, 6, 3]
244	[6, 2]
245	[5, 2, 7, 1]
246	[4, 1, 7]
247	[7]
