7 -->  2 = 0.16383624579538927
7 -->  4 = 0.16613339896628107
7 -->  5 = 0.1652309459348593
7 -->  3 = 0.16802034621379933
7 -->  1 = 0.17039954056936582
7 -->  6 = 0.1663795225203052
 2 -->  3 = 0.16688631815297506
 2 -->  7 = 0.16961975887147948
 2 -->  1 = 0.1661541465319471
 2 -->  5 = 0.1680577927466198
 2 -->  4 = 0.17001025040269438
 2 -->  6 = 0.15927173329428418
1 -->  3 = 0.16581800262812088
1 -->  4 = 0.16590013140604468
1 -->  6 = 0.1652431011826544
1 -->  2 = 0.1709921156373193
1 -->  7 = 0.17123850197109067
1 -->  5 = 0.16080814717477004
1, 2 -->  6 = 0.1961023142509135
1, 2 -->  5 = 0.21071863580998781
1, 2 -->  4 = 0.1930572472594397
1, 2 -->  3 = 0.21254567600487212
1, 2 -->  7 = 0.18757612667478685
 3 -->  2 = 0.16944157949020186
 3 -->  6 = 0.164039094347036
 3 -->  5 = 0.17012916850842297
 3 -->  4 = 0.1651687048769707
 3 -->  1 = 0.16742792593684003
 3 -->  7 = 0.16379352684052847
 3, 2 -->  5 = 0.1940382452193476
 3, 2 -->  7 = 0.2092238470191226
 3, 2 -->  6 = 0.19460067491563554
 3, 2 -->  1 = 0.19291338582677164
 3, 2 -->  4 = 0.2092238470191226
5 -->  3 = 0.15963756177924218
5 -->  4 = 0.17199341021416803
5 -->  1 = 0.16383855024711697
5 -->  7 = 0.16515650741350907
5 -->  6 = 0.16927512355848434
5 -->  2 = 0.1700988467874794
5, 2 -->  6 = 0.18565400843881857
5, 2 -->  4 = 0.19529837251356238
5, 2 -->  1 = 0.19288728149487644
5, 2 -->  3 = 0.19288728149487644
5, 2 -->  7 = 0.2332730560578662
 6 -->  7 = 0.16706902497906095
 6 -->  2 = 0.16785731881558852
 6 -->  5 = 0.16706902497906095
 6 -->  1 = 0.16327536089077205
 6 -->  4 = 0.16475341183426123
 6 -->  3 = 0.16997585850125635
 6, 2 -->  1 = 0.2120375483158476
 6, 2 -->  7 = 0.2015461071231364
 6, 2 -->  5 = 0.19271120927664273
 6, 2 -->  4 = 0.20541137493097736
 6, 2 -->  3 = 0.1882937603533959
7, 2 -->  1 = 0.20074580484773152
7, 2 -->  5 = 0.199502796768179
7, 2 -->  4 = 0.18707271597265382
7, 2 -->  3 = 0.20323182100683654
7, 2 -->  6 = 0.20944686140459912
 4 -->  1 = 0.16638019938123066
 4 -->  7 = 0.1648087217011246
 4 -->  5 = 0.16647841673623728
 4 -->  6 = 0.1675096989638069
 4 -->  3 = 0.1651524824436478
 4 -->  2 = 0.16967048077395275
 4, 2 -->  1 = 0.21262458471760798
 4, 2 -->  7 = 0.20044296788482835
 4, 2 -->  5 = 0.20985603543743078
 4, 2 -->  3 = 0.19490586932447398
 4, 2 -->  6 = 0.1821705426356589
4 -->  3 = 0.16969050160085378
4 -->  2 = 0.1624661357852393
4 -->  7 = 0.1705935473278056
4 -->  5 = 0.16492898776783516
4 -->  1 = 0.16657088908956572
4 -->  6 = 0.16574993842870042
4, 2 -->  7 = 0.20928753180661577
4, 2 -->  1 = 0.20038167938931298
4, 2 -->  3 = 0.2010178117048346
4, 2 -->  6 = 0.1921119592875318
4, 2 -->  5 = 0.19720101781170485
 5 -->  1 = 0.16422517270099457
 5 -->  6 = 0.16623389348880505
 5 -->  7 = 0.1675567096173632
 5 -->  4 = 0.1692224780755475
 5 -->  2 = 0.1673117436676302
 5 -->  3 = 0.1654500024496595
 5, 2 -->  1 = 0.18888888888888888
 5, 2 -->  6 = 0.19833333333333333
 5, 2 -->  4 = 0.21388888888888888
 5, 2 -->  7 = 0.20333333333333334
 5, 2 -->  3 = 0.19555555555555557
3 -->  2 = 0.16652967285878678
3 -->  1 = 0.16833799112280126
3 -->  4 = 0.16315962518494165
3 -->  7 = 0.16537892487259576
3 -->  5 = 0.1668584579976985
3 -->  6 = 0.16973532796317606
3, 2 -->  4 = 0.1972361809045226
3, 2 -->  5 = 0.20854271356783918
3, 2 -->  7 = 0.21733668341708542
3, 2 -->  1 = 0.19912060301507536
3, 2 -->  6 = 0.1777638190954774
 1 -->  7 = 0.1708658710279456
 1 -->  3 = 0.1672805854329355
 1 -->  2 = 0.16423554835224202
 1 -->  4 = 0.1684593094641717
 1 -->  5 = 0.1640882078483375
 1 -->  6 = 0.16507047787436765
 1, 2 -->  3 = 0.21635434412265758
 1, 2 -->  6 = 0.19591141396933562
 1, 2 -->  4 = 0.19875070982396364
 1, 2 -->  5 = 0.20329358319136853
 1, 2 -->  7 = 0.18568994889267462
 7 -->  5 = 0.16655216409853763
 7 -->  1 = 0.16576700363136715
 7 -->  6 = 0.16684659927372658
 7 -->  4 = 0.16699381686132103
 7 -->  3 = 0.1641966826970262
 7 -->  2 = 0.1696437334380214
 7, 2 -->  3 = 0.20647321428571427
 7, 2 -->  4 = 0.20926339285714285
 7, 2 -->  6 = 0.18638392857142858
