7|, 2|7,0.16383624579538927
7|, 3|7,0.16802034621379933
7|, 6|7,0.1663795225203052
7|, 4|7,0.16613339896628107
7|, 1|7,0.17039954056936582
7|, 5|7,0.1652309459348593
 2|, 3| 2,0.16688631815297506
 2|, 6| 2,0.15927173329428418
 2|, 4| 2,0.17001025040269438
 2|, 1| 2,0.1661541465319471
 2|, 7| 2,0.16961975887147948
 2|, 5| 2,0.1680577927466198
1|, 2|1,0.1709921156373193
1|, 3|1,0.16581800262812088
1|, 6|1,0.1652431011826544
1|, 4|1,0.16590013140604468
1|, 7|1,0.17123850197109067
1|, 5|1,0.16080814717477004
 3|, 2| 3,0.16944157949020186
 3|, 6| 3,0.164039094347036
 3|, 4| 3,0.1651687048769707
 3|, 1| 3,0.16742792593684003
 3|, 7| 3,0.16379352684052847
 3|, 5| 3,0.17012916850842297
5|, 2|5,0.1700988467874794
5|, 3|5,0.15963756177924218
5|, 6|5,0.16927512355848434
5|, 4|5,0.17199341021416803
5|, 1|5,0.16383855024711697
5|, 7|5,0.16515650741350907
 6|, 2| 6,0.16785731881558852
 6|, 3| 6,0.16997585850125635
 6|, 4| 6,0.16475341183426123
 6|, 1| 6,0.16327536089077205
 6|, 7| 6,0.16706902497906095
 6|, 5| 6,0.16706902497906095
 4|, 2| 4,0.16967048077395275
 4|, 3| 4,0.1651524824436478
 4|, 6| 4,0.1675096989638069
 4|, 1| 4,0.16638019938123066
 4|, 7| 4,0.1648087217011246
 4|, 5| 4,0.16647841673623728
4|, 2|4,0.1624661357852393
4|, 3|4,0.16969050160085378
4|, 6|4,0.16574993842870042
4|, 1|4,0.16657088908956572
4|, 7|4,0.1705935473278056
4|, 5|4,0.16492898776783516
 5|, 2| 5,0.1673117436676302
 5|, 3| 5,0.1654500024496595
 5|, 6| 5,0.16623389348880505
 5|, 4| 5,0.1692224780755475
 5|, 1| 5,0.16422517270099457
 5|, 7| 5,0.1675567096173632
3|, 2|3,0.16652967285878678
3|, 6|3,0.16973532796317606
3|, 4|3,0.16315962518494165
3|, 1|3,0.16833799112280126
3|, 7|3,0.16537892487259576
3|, 5|3,0.1668584579976985
 1|, 2| 1,0.16423554835224202
 1|, 3| 1,0.1672805854329355
 1|, 6| 1,0.16507047787436765
 1|, 4| 1,0.1684593094641717
 1|, 7| 1,0.1708658710279456
 1|, 5| 1,0.1640882078483375
 7|, 2| 7,0.1696437334380214
 7|, 3| 7,0.1641966826970262
 7|, 6| 7,0.16684659927372658
 7|, 4| 7,0.16699381686132103
 7|, 1| 7,0.16576700363136715
 7|, 5| 7,0.16655216409853763
6|, 2|6,0.16852570320077595
6|, 3|6,0.1658583899127061
6|, 4|6,0.16698997736825089
6|, 1|6,0.1724054316197866
6|, 7|6,0.15834141610087293
6|, 5|6,0.1678790817976075
2|, 3|2,0.16681658353095102
2|, 6|2,0.16894267724262
2|, 4|2,0.16297326028293402
2|, 1|2,0.16526289966473137
2|, 7|2,0.16648949219069425
2|, 5|2,0.16951508708806934
 2|1, 6| 2,0.1961023142509135
 2|1, 5| 2,0.21071863580998781
 2|1, 4| 2,0.1930572472594397
 2|1, 3| 2,0.21254567600487212
 2|1, 7| 2,0.18757612667478685
 2| 3, 5| 2,0.1940382452193476
 2| 3, 7| 2,0.2092238470191226
 2| 3, 6| 2,0.19460067491563554
 2| 3, 1| 2,0.19291338582677164
 2| 3, 4| 2,0.2092238470191226
 2|5, 6| 2,0.18565400843881857
 2|5, 4| 2,0.19529837251356238
 2|5, 1| 2,0.19288728149487644
 2|5, 3| 2,0.19288728149487644
 2|5, 7| 2,0.2332730560578662
 2| 6, 1| 2,0.2120375483158476
 2| 6, 7| 2,0.2015461071231364
 2| 6, 5| 2,0.19271120927664273
 2| 6, 4| 2,0.20541137493097736
 2| 6, 3| 2,0.1882937603533959
 2|7, 1| 2,0.20074580484773152
 2|7, 5| 2,0.199502796768179
 2|7, 4| 2,0.18707271597265382
 2|7, 3| 2,0.20323182100683654
 2|7, 6| 2,0.20944686140459912
 2| 4, 1| 2,0.21262458471760798
 2| 4, 7| 2,0.20044296788482835
 2| 4, 5| 2,0.20985603543743078
 2| 4, 3| 2,0.19490586932447398
 2| 4, 6| 2,0.1821705426356589
 2|4, 7| 2,0.20928753180661577
 2|4, 1| 2,0.20038167938931298
 2|4, 3| 2,0.2010178117048346
 2|4, 6| 2,0.1921119592875318
 2|4, 5| 2,0.19720101781170485
 2| 5, 1| 2,0.18888888888888888
 2| 5, 6| 2,0.19833333333333333
 2| 5, 4| 2,0.21388888888888888
 2| 5, 7| 2,0.20333333333333334
 2| 5, 3| 2,0.19555555555555557
 2|3, 4| 2,0.1972361809045226
 2|3, 5| 2,0.20854271356783918
 2|3, 7| 2,0.21733668341708542
 2|3, 1| 2,0.19912060301507536
 2|3, 6| 2,0.1777638190954774
 2| 1, 3| 2,0.21635434412265758
 2| 1, 6| 2,0.19591141396933562
 2| 1, 4| 2,0.19875070982396364
 2| 1, 5| 2,0.20329358319136853
 2| 1, 7| 2,0.18568994889267462
 2| 7, 3| 2,0.20647321428571427
 2| 7, 4| 2,0.20926339285714285
 2| 7, 6| 2,0.18638392857142858
 2| 7, 1| 2,0.19977678571428573
 2| 7, 5| 2,0.19810267857142858
 2|6, 5| 2,0.209009009009009
 2|6, 4| 2,0.22402402402402402
 2|6, 3| 2,0.18678678678678678
 2|6, 1| 2,0.1921921921921922
 2|6, 7| 2,0.187987987987988
 3|6, 5| 3,0.20805772699939867
 3|6, 2| 3,0.20144317498496692
 3|6, 1| 3,0.2158749248346362
 3|6, 7| 3,0.179795550210463
 3|6, 4| 3,0.1948286229705352
 3| 2, 4| 3,0.21029572836801752
 3| 2, 5| 3,0.21358159912376778
 3| 2, 7| 3,0.1768893756845564
 3| 2, 6| 3,0.19989047097480833
 3| 2, 1| 3,0.19934282584884994
 3|5, 1| 3,0.18383311603650587
 3|5, 2| 3,0.20534550195567144
 3|5, 6| 3,0.196870925684485
 3|5, 7| 3,0.20599739243807041
 3|5, 4| 3,0.20795306388526727
 3| 6, 7| 3,0.1916985253959585
 3| 6, 4| 3,0.19825232113599126
 3| 6, 2| 3,0.20535226652102676
 3| 6, 5| 3,0.1993446204259967
 3| 6, 1| 3,0.20535226652102676
 3|4, 2| 3,0.21361648969394129
 3|4, 7| 3,0.19113054341036853
 3|4, 6| 3,0.21361648969394129
 3|4, 5| 3,0.18550905683947533
 3|4, 1| 3,0.19612742036227357
 3|2, 1| 3,0.2028100183262065
 3|2, 4| 3,0.19425778863775198
 3|2, 6| 3,0.19425778863775198
 3|2, 5| 3,0.20586438607208307
 3|2, 7| 3,0.2028100183262065
 3|7, 1| 3,0.21215880893300249
 3|7, 2| 3,0.21215880893300249
 3|7, 6| 3,0.18610421836228289
 3|7, 5| 3,0.19044665012406947
 3|7, 4| 3,0.19913151364764267
 3| 4, 5| 3,0.2053872053872054
 3| 4, 2| 3,0.2132435465768799
 3| 4, 7| 3,0.21156004489337824
 3| 4, 6| 3,0.186307519640853
 3| 4, 1| 3,0.1835016835016835
 3| 5, 4| 3,0.19293325855300056
 3| 5, 1| 3,0.2148065058889512
